GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,YardLine,Description,Formation,PlayType,IsPass,IsTouchdown,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,YardLineFixed,YardLineDirection
2016101605,2016-10-16,3,15,0,NO,CAR,35,"3-W.LUTZ KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,3,4,56,NO,CAR,35,"3-W.LUTZ KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2017010102,2017-01-01,4,10,2,GB,DET,85,"2-M.CROSBY EXTRA POINT IS NO GOOD, WIDE RIGHT, CENTER-61-B.GOODE, HOLDER-10-J.SCHUM.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2017010104,2017-01-01,1,7,28,NE,MIA,85,"3-S.GOSTKOWSKI EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-6-R.ALLEN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2017010104,2017-01-01,4,5,33,NE,MIA,50,3-S.GOSTKOWSKI KICKS 38 YARDS FROM 50 TO MIA 12. 32-K.DRAKE PUSHED OB AT MIA 33 FOR 21 YARDS (30-D.HARMON).,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,50,OPP
2016101605,2016-10-16,3,0,0,NOT APPLICABLE,CAR,0,END QUARTER 3,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,4,6,2,NOT APPLICABLE,CAR,0,TIMEOUT #1 BY NO AT 06:02.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,4,6,2,NO,CAR,85,"3-W.LUTZ EXTRA POINT IS GOOD, CENTER-47-J.DRESCHER, HOLDER-6-T.MORSTEAD.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101605,2016-10-16,4,6,2,NO,CAR,50,3-W.LUTZ KICKS 41 YARDS FROM NO 50 TO CAR 9. 19-T.GINN PUSHED OB AT CAR 22 FOR 13 YARDS (41-R.HARPER).,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,50,OWN
2016101605,2016-10-16,4,2,58,CAR,NO,98,(PASS FORMATION) TWO-POINT CONVERSION ATTEMPT. 1-C.NEWTON PASS TO 17-D.FUNCHESS IS COMPLETE. ATTEMPT SUCCEEDS.,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,0,0,1,1,2,OPP
2016101605,2016-10-16,4,2,0,NOT APPLICABLE,CAR,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,4,0,52,NOT APPLICABLE,CAR,0,TIMEOUT #1 BY CAR AT 00:52.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101605,2016-10-16,4,0,11,NO,CAR,35,"3-W.LUTZ KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101605,2016-10-16,4,0,0,NOT APPLICABLE,CAR,0,END GAME,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,1,15,0,NYG,BAL,35,"3-J.BROWN KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,1,10,10,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,1,6,42,BAL,NYG,85,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-4-S.KOCH.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101606,2016-10-16,1,6,42,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,1,0,0,NOT APPLICABLE,BAL,0,END QUARTER 1,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,7,25,NOT APPLICABLE,BAL,0,TIMEOUT #1 BY NYG AT 07:25.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,2,28,NYG,BAL,85,"3-J.BROWN EXTRA POINT IS GOOD, CENTER-51-Z.DEOSSIE, HOLDER-9-B.WING.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101606,2016-10-16,2,2,28,NYG,BAL,35,"3-J.BROWN KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,2,2,0,NOT APPLICABLE,BAL,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,1,22,NOT APPLICABLE,BAL,0,TIMEOUT #2 BY NYG AT 01:22.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,1,9,NOT APPLICABLE,BAL,0,TIMEOUT #3 BY NYG AT 01:09.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,0,8,NOT APPLICABLE,BAL,0,TIMEOUT #1 BY BAL AT 00:08.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,2,0,0,NOT APPLICABLE,BAL,0,END QUARTER 2,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,3,15,0,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,3,2,22,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,3,2,10,NYG,BAL,50,"3-J.BROWN KICKS 50 YARDS FROM 50 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,50,OPP
2016101606,2016-10-16,3,0,0,NOT APPLICABLE,BAL,0,END QUARTER 3,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,9,14,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,4,5,54,NYG,BAL,35,"3-J.BROWN KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,4,5,7,NOT APPLICABLE,BAL,0,TIMEOUT #1 BY BAL AT 05:07.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,2,8,NOT APPLICABLE,BAL,0,TIMEOUT #2 BY BAL AT 02:08.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,2,4,BAL,NYG,85,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-4-S.KOCH.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101606,2016-10-16,4,2,4,BAL,NYG,35,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101606,2016-10-16,4,2,0,NOT APPLICABLE,BAL,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,1,24,NYG,BAL,85,"3-J.BROWN EXTRA POINT IS GOOD, CENTER-51-Z.DEOSSIE, HOLDER-9-B.WING.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101606,2016-10-16,4,1,24,NYG,BAL,20,3-J.BROWN KICKS 74 YARDS FROM NYG 20 TO BAL 6. 10-C.MOORE TO BAL 32 FOR 26 YARDS (72-K.WYNN).,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,20,OWN
2016101606,2016-10-16,4,0,32,NOT APPLICABLE,BAL,0,TIMEOUT #3 BY BAL AT 00:32.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,0,15,NOT APPLICABLE,BAL,0,TIMEOUT #1 BY NYG AT 00:15.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101606,2016-10-16,4,0,0,NOT APPLICABLE,BAL,0,END GAME,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,1,12,19,NOT APPLICABLE,CLE,0,TIMEOUT #1 BY TEN AT 12:19.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,1,10,37,TEN,CLE,85,"4-R.SUCCOP EXTRA POINT IS GOOD, CENTER-48-B.BRINKLEY, HOLDER-6-B.KERN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101607,2016-10-16,1,10,37,TEN,CLE,35,"4-R.SUCCOP KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,1,8,47,CLE,TEN,35,"3-C.PARKEY KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,1,2,8,CLE,TEN,35,"3-C.PARKEY KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,1,0,0,NOT APPLICABLE,CLE,0,END QUARTER 1,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,2,11,51,TEN,CLE,85,"4-R.SUCCOP EXTRA POINT IS GOOD, CENTER-48-B.BRINKLEY, HOLDER-6-B.KERN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101607,2016-10-16,2,11,51,TEN,CLE,35,4-R.SUCCOP KICKS 65 YARDS FROM TEN 35 TO CLE 0. 25-G.ATKINSON TO CLE 19 FOR 19 YARDS (50-N.PALMER).,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,2,2,0,NOT APPLICABLE,CLE,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,2,0,47,NOT APPLICABLE,CLE,0,TIMEOUT #1 BY CLE AT 00:47.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,2,0,40,CLE,TEN,35,"3-C.PARKEY KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,2,0,0,NOT APPLICABLE,CLE,0,END QUARTER 2,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,3,15,0,TEN,CLE,35,"4-R.SUCCOP KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
