GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016092512,2016-09-25,1,8,26,KC,NYJ,2,8,58,"(8:26) (RUN FORMATION) PENALTY ON NYJ-99-S.MCLENDON, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT NYJ 42 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,42,OPP,1,NYJ,1,NEUTRAL ZONE INFRACTION,5
2016092512,2016-09-25,1,7,9,KC,NYJ,2,6,73,"(7:09) (SHOTGUN) 32-S.WARE LEFT GUARD TO NYJ 22 FOR 5 YARDS (97-L.THOMAS). PENALTY ON KC-61-M.MORSE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NYJ 27 - NO PLAY.",5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT GUARD,27,OPP,1,KC,1,OFFENSIVE HOLDING,10
2016091200,2016-09-12,4,5,48,PIT,WAS,0,0,85,"9-C.BOSWELL EXTRA POINT IS GOOD, CENTER-60-G.WARREN, HOLDER-4-J.BERRY. PENALTY ON WAS-24-J.NORMAN, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED BETWEEN DOWNS.",0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,0,0,0,0,,15,OPP,1,WAS,0,DEFENSIVE OFFSIDE,5
2016092512,2016-09-25,3,7,1,NYJ,KC,1,10,20,"(7:01) (SHOTGUN) 14-R.FITZPATRICK PASS INCOMPLETE DEEP LEFT TO 15-B.MARSHALL. PENALTY ON KC-23-P.GAINES, DEFENSIVE PASS INTERFERENCE, 19 YARDS, ENFORCED AT NYJ 20 - NO PLAY.",0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,0,0,,20,OWN,1,KC,1,DEFENSIVE PASS INTERFERENCE,19
2016091201,2016-09-12,4,6,3,SF,LA,2,5,94,"(6:03) (NO HUDDLE, SHOTGUN) 2-B.GABBERT PASS INCOMPLETE SHORT LEFT TO 11-Q.PATTON. PENALTY ON LA-21-C.SENSABAUGH, DEFENSIVE PASS INTERFERENCE, 5 YARDS, ENFORCED AT LA 6 - NO PLAY.",0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,0,0,,6,OPP,1,LA,1,DEFENSIVE PASS INTERFERENCE,5
2016091800,2016-09-18,4,8,14,CAR,SF,4,3,92,"(8:14) (FIELD GOAL FORMATION) PENALTY ON CAR-8-A.LEE, DELAY OF GAME, 5 YARDS, ENFORCED AT SF 8 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,8,OPP,1,CAR,1,DELAY OF GAME,5
2016091801,2016-09-18,4,11,56,BAL,CLE,3,6,74,"(11:56) (NO HUDDLE, SHOTGUN) 5-J.FLACCO PASS DEEP LEFT TO 10-C.MOORE TO CLE 1 FOR 25 YARDS (22-T.WILLIAMS). PENALTY ON BAL-88-D.PITTA, ILLEGAL SHIFT, 5 YARDS, ENFORCED AT CLE 26 - NO PLAY.",25,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,0,0,0,0,,26,OPP,1,BAL,1,ILLEGAL SHIFT,5
2016091805,2016-09-18,2,4,6,NO,NYG,1,10,75,"(4:06) 9-D.BREES PASS INCOMPLETE SHORT RIGHT TO 22-M.INGRAM. PENALTY ON NO-16-B.COLEMAN, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT NYG 25 - NO PLAY.",0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,0,0,,25,OPP,1,NO,1,OFFENSIVE PASS INTERFERENCE,10
2016091806,2016-09-18,4,1,1,PIT,CIN,4,8,56,"(1:01) (PUNT FORMATION) PENALTY ON PIT-4-J.BERRY, DELAY OF GAME, 5 YARDS, ENFORCED AT CIN 44 - NO PLAY.",0,UNDER CENTER,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,44,OPP,1,PIT,1,DELAY OF GAME,5
2016100204,2016-10-02,1,0,36,HOU,TEN,1,10,53,"(:36) 26-L.MILLER LEFT END TO TEN 42 FOR 5 YARDS (30-J.MCCOURTY; 51-D.BASS). PENALTY ON HOU-74-C.CLARK, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT TEN 47 - NO PLAY.",5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,47,OPP,1,HOU,1,OFFENSIVE HOLDING,10
